,Date,RecordedValue,SiteID
852,2021-05-11,26.14277387,41O 04850
853,2021-05-12,25.20284031,41O 04850
854,2021-05-13,24.88147753,41O 04850
855,2021-05-14,25.79102917,41O 04850
856,2021-05-15,27.51357296,41O 04850
857,2021-05-16,29.11255152,41O 04850
858,2021-05-17,31.82626469,41O 04850
859,2021-05-18,36.9762609,41O 04850
860,2021-05-19,39.20332771,41O 04850
861,2021-05-20,42.20420631,41O 04850
862,2021-05-21,37.59149807,41O 04850
863,2021-05-22,36.23118239,41O 04850
864,2021-05-23,36.92672682,41O 04850
865,2021-05-24,39.23907081,41O 04850
866,2021-05-25,44.72102026,41O 04850
867,2021-05-26,60.13271029,41O 04850
868,2021-05-27,144.66898723,41O 04850
869,2021-05-28,124.17456551,41O 04850
870,2021-05-29,109.82030159,41O 04850
871,2021-05-30,93.46197313,41O 04850
872,2021-05-31,86.43070705,41O 04850
873,2021-06-01,85.67041299,41O 04850
874,2021-06-02,101.99987181,41O 04850
875,2021-06-03,132.19159228,41O 04850
876,2021-06-04,154.7471512,41O 04850
877,2021-06-05,158.24133395,41O 04850
878,2021-06-06,132.79850148,41O 04850
879,2021-06-07,103.78697627,41O 04850
763,2021-06-08,88.32637033,41O 04850
764,2021-06-09,78.4104351,41O 04850
765,2021-06-10,74.00915607,41O 04850
880,2021-06-11,72.88226635,41O 04850
881,2021-06-12,65.50560496,41O 04850
882,2021-06-13,61.87483241,41O 04850
883,2021-06-14,53.06316874,41O 04850
884,2021-06-15,51.82626531,41O 04850
885,2021-06-16,49.50378307,41O 04850
886,2021-06-17,46.9086296,41O 04850
887,2021-06-18,43.52389675,41O 04850
888,2021-06-19,41.52527754,41O 04850
889,2021-06-20,47.21632382,41O 04850
890,2021-06-21,44.21777745,41O 04850
891,2021-06-22,40.25460098,41O 04850
892,2021-06-23,38.44566962,41O 04850
893,2021-06-24,54.47690764,41O 04850
894,2021-06-25,50.57484466,41O 04850
895,2021-06-26,44.38284167,41O 04850
896,2021-06-27,40.45529839,41O 04850
897,2021-06-28,38.68459396,41O 04850
898,2021-06-29,37.21381457,41O 04850
899,2021-06-30,35.92800947,41O 04850
900,2021-07-01,36.09891916,41O 04850
901,2021-07-02,37.65825609,41O 04850
902,2021-07-03,37.03251901,41O 04850
903,2021-07-04,36.01187342,41O 04850
904,2021-07-05,35.4178446,41O 04850
905,2021-07-06,35.25788497,41O 04850
906,2021-07-07,34.45529354,41O 04850
907,2021-07-08,34.09799178,41O 04850
908,2021-07-09,33.53387354,41O 04850
909,2021-07-10,34.16743065,41O 04850
910,2021-07-11,32.69054541,41O 04850
911,2021-07-12,32.05794015,41O 04850
912,2021-07-13,32.10362334,41O 04850
913,2021-07-14,31.67323639,41O 04850
914,2021-07-15,30.56972027,41O 04850
915,2021-07-16,29.72204821,41O 04850
916,2021-07-17,29.21152034,41O 04850
917,2021-07-18,28.86522271,41O 04850
918,2021-07-19,28.64579588,41O 04850
919,2021-07-20,29.66259635,41O 04850
920,2021-07-21,29.26508957,41O 04850
755,2021-07-22,,41O 04850
921,2021-07-23,28.35707672,41O 04850
922,2021-07-24,27.78825479,41O 04850
923,2021-07-25,27.08720681,41O 04850
924,2021-07-26,26.40312065,41O 04850
925,2021-07-27,26.00896055,41O 04850
926,2021-07-28,26.22804098,41O 04850
927,2021-07-29,26.36661898,41O 04850
928,2021-07-30,26.01704495,41O 04850
929,2021-07-31,25.03707952,41O 04850
930,2021-08-01,24.6204564,41O 04850
931,2021-08-02,24.94185369,41O 04850
933,2021-08-03,25.30158375,41O 04850
932,2021-08-04,24.26779996,41O 04850
934,2021-08-05,24.85365873,41O 04850
935,2021-08-06,24.48064436,41O 04850
43,2021-08-07,23.80064275,41O 04850
936,2021-08-08,25.38049169,41O 04850
937,2021-08-09,28.32938374,41O 04850
938,2021-08-10,25.21370362,41O 04850
939,2021-08-11,23.79381527,41O 04850
940,2021-08-12,22.99802638,41O 04850
941,2021-08-13,22.98486798,41O 04850
942,2021-08-14,22.57765565,41O 04850
943,2021-08-15,21.88189016,41O 04850
944,2021-08-16,21.30153008,41O 04850
945,2021-08-17,21.59356354,41O 04850
946,2021-08-18,25.20887451,41O 04850
947,2021-08-19,25.20349839,41O 04850
948,2021-08-20,24.63961554,41O 04850
949,2021-08-21,25.00105496,41O 04850
950,2021-08-22,24.81419699,41O 04850
951,2021-08-23,23.24364798,41O 04850
754,2021-08-24,,41O 04850
952,2021-08-25,20.98188054,41O 04850
953,2021-08-26,20.78998682,41O 04850
954,2021-08-27,20.36073438,41O 04850
955,2021-08-28,20.18446886,41O 04850
956,2021-08-29,19.38960668,41O 04850
958,2021-08-30,18.51978946,41O 04850
957,2021-08-31,17.88581235,41O 04850
959,2021-09-01,17.7313475,41O 04850
960,2021-09-02,17.88272321,41O 04850
961,2021-09-03,18.23254039,41O 04850
962,2021-09-04,17.88632432,41O 04850
963,2021-09-05,17.23084159,41O 04850
964,2021-09-06,16.4577266,41O 04850
965,2021-09-07,16.62930288,41O 04850
966,2021-09-08,17.44526036,41O 04850
967,2021-09-09,17.15838065,41O 04850
968,2021-09-10,16.82443058,41O 04850
969,2021-09-11,18.21551447,41O 04850
970,2021-09-12,18.40212637,41O 04850
971,2021-09-13,17.90009898,41O 04850
972,2021-09-14,17.89392624,41O 04850
973,2021-09-15,16.79160065,41O 04850
974,2021-09-16,16.83099417,41O 04850
975,2021-09-17,18.135762,41O 04850
976,2021-09-18,17.11339425,41O 04850
977,2021-09-19,16.24374687,41O 04850
978,2021-09-20,17.61543725,41O 04850
979,2021-09-21,17.6680399,41O 04850
980,2021-09-22,16.62469931,41O 04850
981,2021-09-23,15.77816,41O 04850
982,2021-09-24,16.50359889,41O 04850
983,2021-09-25,16.45937254,41O 04850
984,2021-09-26,15.59065376,41O 04850
985,2021-09-27,15.51841905,41O 04850
986,2021-09-28,16.10334535,41O 04850
997,2021-09-29,17.52175082,41O 04850
998,2021-09-30,17.49946061,41O 04850
999,2021-10-01,17.06986797,41O 04850
1000,2021-10-02,17.4533397,41O 04850
1001,2021-10-03,16.82309729,41O 04850
1002,2021-10-04,16.68158105,41O 04850
1003,2021-10-05,15.7045321,41O 04850
1004,2021-10-06,14.77918846,41O 04850
1005,2021-10-07,15.86423791,41O 04850
1006,2021-10-08,17.81577763,41O 04850
1007,2021-10-09,18.083532,41O 04850
1008,2021-10-10,17.62172811,41O 04850
1009,2021-10-11,17.88362774,41O 04850
1010,2021-10-12,16.89234044,41O 04850
1011,2021-10-13,14.4711405,41O 04850
1012,2021-10-14,15.98964659,41O 04850
